codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
05715001,DGA,dga_web,Rio Paine En Longitudinal,375,-33.8333,-70.75,57,Rio Maipo,571,Rio Maipo Medio (Despues Colorado Antes Mapocho),1962-12-01,1983-11-01,221
05701002,DGA,dga_web,Rio Maipo En Las Melosas,1527,-33.8481,-70.1961,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1962-02-01,2015-10-01,300
05716003,DGA,dga_web,Estero Pintue En Puente Pintue,0,-33.8736,-70.8781,57,Rio Maipo,571,Rio Maipo Medio (Despues Colorado Antes Mapocho),2003-04-01,2010-11-01,83
05705002,DGA,dga_web,Canal Queltehue,3080,-33.8783,-70.1978,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),2013-11-01,2016-04-01,30
05713001,DGA,dga_web,Rio Angostura En Angostura,450,-33.9,-70.7333,57,Rio Maipo,571,Rio Maipo Medio (Despues Colorado Antes Mapocho),1930-01-01,1972-02-01,117
06056001,DGA,dga_web,Rio Rapel En Rapel,7,-33.9369,-71.75,60,Rio Rapel,605,Rio Rapel,1939-11-01,1966-08-01,317
05701001,DGA,dga_web,Rio Maipo En Las Hualtatas,1820,-33.9781,-70.1456,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1979-03-01,2012-12-01,372
06043001,DGA,dga_web,Estero Alhue En Quilamuta,130,-34.0617,-71.2422,60,Rio Rapel,604,Estero Alhue,1970-05-01,2015-08-01,468
06011001,DGA,dga_web,Estero De La Cadena Antes Junta Rio Cachapoal,440,-34.1842,-70.8436,60,Rio Rapel,600,Rio Cachapoal Bajo (Bajo Jta Rio Claro Y E Rapel),1983-05-01,2014-12-01,349
06008002,DGA,dga_web,Rio Cachapoal En Coya,0,-34.2167,-70.5333,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),1930-01-01,1949-03-01,194
06008001,DGA,dga_web,Rio Cachapoal En Chicayas,0,-34.2333,-70.5667,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),1930-01-01,1931-08-01,20
06008009,DGA,dga_web,Canal Sauzal En Puente Termas,750,-34.2403,-70.5506,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2005-08-01,2016-04-01,104
06006001,DGA,dga_web,Rio Pangal En Pangal,1500,-34.2467,-70.3281,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),1985-11-01,2016-04-01,324
06008005,DGA,dga_web,Rio Cachapoal En Pte Termas De Cauquenes,700,-34.25,-70.5667,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2002-12-01,2016-02-01,154
06009001,DGA,dga_web,Rio Claro En Campamento,664,-34.2667,-70.5833,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),1986-02-01,1986-05-01,4
06019003,DGA,dga_web,Rio Cachapoal En Puente Arqueado (Ca),115,-34.2731,-71.3717,60,Rio Rapel,601,Cachapoal Bajo,2002-10-01,2016-04-01,145
06003001,DGA,dga_web,Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal,1127,-34.3464,-70.3764,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),1989-07-01,2016-04-01,258
06000003,DGA,dga_web,Rio Las Leas Ante Junta Rio Cachapoal,1296,-34.3628,-70.3056,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2006-12-01,2015-12-01,94
06002001,DGA,dga_web,Rio Cortaderal Ante Junta Rio Cachapoal,1200,-34.3669,-70.3258,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),1985-09-01,2016-04-01,160
06015001,DGA,dga_web,Rio Claro En Tunca,480,-34.3822,-71.0997,60,Rio Rapel,600,Rio Cachapoal Bajo (Bajo Jta Rio Claro Y E Rapel),1994-05-01,2015-04-01,185
06013002,DGA,dga_web,Canal Tipaume En Puente (Suc Celis),0,-34.3833,-70.7833,60,Rio Rapel,600,Rio Cachapoal Bajo (Bajo Jta Rio Claro Y E Rapel),1933-10-01,1944-04-01,80
06000001,DGA,dga_web,Rio Las Legnas Cota 2150,0,-34.4178,-70.1753,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),1987-04-01,1989-05-01,25
06018001,DGA,dga_web,Estero Zamorano En Puente El Niche,900,-34.4311,-71.1681,60,Rio Rapel,600,Rio Cachapoal Bajo (Bajo Jta Rio Claro Y E Rapel),1985-10-01,2015-04-01,299
06013001,DGA,dga_web,Rio Claro En Hacienda Las Nieves,720,-34.4922,-70.7028,60,Rio Rapel,601,Cachapoal Bajo,1930-01-01,2016-04-01,632
06035001,DGA,dga_web,Rio Tinguiririca En Los Olmos (Ca),223,-34.4922,-71.3731,60,Rio Rapel,603,Rio Tinguiririca Bajo (Entre Rio Rapel Y E Rapel),2002-10-01,2016-04-01,151
06132001,DGA,dga_web,Estero Nilahue En Santa Teresa,50,-34.57,-71.7908,61,Costeras Rapel-E. Nilahue,613,Estero Nilahue,1985-07-01,2014-05-01,304
06034001,DGA,dga_web,Estero Chimbarongo En Santa Cruz,225,-34.6267,-71.3514,60,Rio Rapel,603,Rio Tinguiririca Bajo (Entre Rio Rapel Y E Rapel),1945-04-01,1980-12-01,409
06034023,DGA,dga_web,Estero Chimbarongo En Puente El Huape,184,-34.6581,-71.3019,60,Rio Rapel,603,Rio Tinguiririca Bajo (Entre Rio Rapel Y E Rapel),2009-04-01,2016-04-01,58
